#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
79300 1579 393442 1765 399558
79400 1579 393978 1765 400022
79500 1579 394273 1766 400727
79600 1579 394793 1766 401207
79700 1579 395219 1766 401781
79800 1582 395713 1768 402287
79900 1583 396306 1768 402694
80000 1585 396827 1770 403173
80100 1585 397335 1771 403665
80200 1585 397874 1772 404126
80300 1585 398451 1772 404549
80400 1586 399057 1773 404943
80500 1588 399652 1774 405348
80600 1591 400125 1777 405875
80700 1591 400660 1777 406340
80800 1592 401363 1777 406637
80900 1592 401902 1779 407098
81000 1594 402401 1780 407599
81100 1596 402866 1781 408134
81200 1599 403326 1784 408674
81300 1601 403939 1784 409061
81400 1602 404502 1784 409498
81500 1602 405092 1784 409908
81600 1602 405434 1784 410566
81700 1607 405763 1786 411237
81800 1608 406242 1788 411758
81900 1609 406789 1788 412211
82000 1612 407285 1789 412715
82100 1614 407798 1789 413202
82200 1614 408301 1790 413699
82300 1616 408966 1791 414034
82400 1617 409393 1793 414607
82500 1618 409882 1794 415118
82600 1619 410509 1794 415491
82700 1620 411040 1796 415960
82800 1620 411556 1798 416444
82900 1623 412051 1799 416949
83000 1623 412617 1799 417383
83100 1623 413118 1799 417882
83200 1625 413799 1800 418201
83300 1626 414457 1800 418543
83400 1628 414975 1801 419025
83500 1629 415463 1803 419537
83600 1630 416180 1804 419820
83700 1632 416678 1807 420322
83800 1632 417350 1809 420650
83900 1633 417924 1811 421076
84000 1636 418368 1813 421632
84100 1636 418867 1817 422133
84200 1636 419406 1818 422594
84300 1636 420146 1819 422854
84400 1636 420632 1819 423368
84500 1636 421119 1821 423881
84600 1636 421626 1822 424374
84700 1637 422256 1822 424744
84800 1637 422561 1823 425439
84900 1637 423097 1823 425903
85000 1637 423569 1823 426431
85100 1637 423950 1824 427050
85200 1637 424533 1825 427467
85300 1638 425121 1825 427879
85400 1639 425683 1825 428317
85500 1640 426199 1826 428801
85600 1640 426782 1826 429218
85700 1640 427313 1826 429687
85800 1640 427820 1828 430180
85900 1641 428398 1828 430602
86000 1641 428899 1828 431101
86100 1642 429406 1829 431594
86200 1642 429669 1831 432331
86300 1645 430181 1831 432819
86400 1646 430749 1831 433251
86500 1646 431224 1832 433776
86600 1649 431734 1833 434266
86700 1650 432128 1833 434872
86800 1650 432773 1836 435227
86900 1651 433295 1836 435705
87000 1652 433792 1838 436208
87100 1652 434286 1839 436714
87200 1654 434558 1839 437442
87300 1654 434909 1839 438091
87400 1654 435453 1839 438547
87500 1656 435829 1839 439171
87600 1658 436327 1839 439673
87700 1659 436804 1841 440196
87800 1659 437178 1843 440822
87900 1659 437641 1843 441359
88000 1661 438119 1843 441881
88100 1663 438803 1843 442197
88200 1664 439297 1844 442703
88300 1664 439727 1845 443273
88400 1664 440229 1847 443771
88500 1666 440741 1849 444259
88600 1666 441301 1849 444699
88700 1667 441958 1849 445042
88800 1669 442451 1851 445549
88900 1669 442809 1851 446191
89000 1669 443216 1851 446784
89100 1669 443740 1851 447260
89200 1671 444280 1851 447720
89300 1671 444820 1853 448180
89400 1674 445382 1855 448618
89500 1675 445789 1855 449211
89600 1677 446103 1855 449897
89700 1679 446477 1857 450523
89800 1681 446949 1858 451051
89900 1683 447516 1860 451484
90000 1685 448223 1860 451777
90100 1686 448698 1861 452302
90200 1687 449186 1862 452814
90300 1693 449681 1865 453319
90400 1694 449965 1865 454035
90500 1696 450371 1865 454629
90600 1697 450900 1867 455100
90700 1699 451400 1867 455600
90800 1700 451829 1867 456171
90900 1700 452258 1867 456742
91000 1703 452764 1869 457236
91100 1705 453124 1872 457876
91200 1710 453623 1874 458377
91300 1711 453984 1877 459016
91400 1712 454527 1877 459473
91500 1712 454882 1879 460118
91600 1712 455398 1881 460602
91700 1712 456037 1881 460963
91800 1713 456442 1881 461558
91900 1714 457060 1881 461940
92000 1715 457550 1883 462450
92100 1717 458096 1885 462904
92200 1718 458539 1887 463461
92300 1718 458858 1887 464142
92400 1720 459323 1887 464677
