#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.8 0.8]
#! SET kt 1.0
74700 1665 369435 1802 377565
74800 1666 369680 1807 378320
74900 1671 370075 1808 378925
75000 1672 370626 1810 379374
75100 1672 371142 1810 379858
75200 1674 371565 1813 380435
75300 1677 372071 1814 380929
75400 1677 372668 1814 381332
75500 1679 373229 1816 381771
75600 1684 373701 1818 382299
75700 1690 374189 1821 382811
75800 1693 374835 1822 383165
75900 1693 375324 1824 383676
76000 1697 375650 1827 384350
76100 1698 376162 1828 384838
76200 1701 376452 1828 385548
76300 1702 376954 1829 386046
76400 1703 377417 1829 386583
76500 1704 377907 1832 387093
76600 1704 378387 1834 387613
76700 1704 379006 1834 387994
76800 1704 379448 1834 388552
76900 1705 379956 1836 389044
77000 1709 380339 1837 389661
77100 1712 380617 1839 390383
77200 1713 381061 1842 390939
77300 1713 381585 1843 391415
77400 1718 382305 1843 391695
77500 1720 382932 1844 392068
77600 1721 383318 1845 392682
77700 1721 383847 1845 393153
77800 1724 384388 1845 393612
77900 1725 384765 1848 394235
78000 1726 385343 1849 394657
78100 1726 385874 1850 395126
78200 1730 386333 1850 395667
78300 1731 386825 1852 396175
78400 1731 387374 1852 396626
78500 1731 388038 1855 396962
78600 1732 388487 1855 397513
78700 1734 389058 1857 397942
78800 1734 389546 1859 398454
78900 1736 390046 1859 398954
79000 1739 390506 1859 399494
79100 1741 390853 1860 400147
79200 1742 391339 1862 400661
79300 1743 391857 1862 401143
79400 1745 392325 1863 401675
79500 1747 392725 1865 402275
79600 1748 393388 1865 402612
79700 1751 393882 1865 403118
79800 1757 394400 1867 403600
79900 1757 394914 1868 404086
80000 1759 395346 1871 404654
80100 1763 395831 1871 405169
80200 1764 396409 1873 405591
80300 1765 396960 1875 406040
80400 1765 397475 1876 406525
80500 1767 398005 1881 406995
80600 1768 398452 1884 407548
80700 1769 398734 1885 408266
80800 1770 399252 1885 408748
80900 1770 399741 1885 409259
81000 1774 400160 1886 409840
81100 1776 400722 1889 410278
81200 1778 401101 1891 410899
81300 1778 401496 1891 411504
81400 1779 401836 1892 412164
81500 1779 402309 1893 412691
81600 1782 402874 1895 413126
81700 1784 403437 1896 413563
81800 1785 403969 1896 414031
81900 1785 404464 1899 414536
82000 1785 405066 1899 414934
82100 1786 405597 1901 415403
82200 1787 406012 1903 415988
82300 1787 406475 1904 416525
82400 1787 407044 1905 416956
82500 1791 407548 1907 417452
82600 1791 408214 1909 417786
82700 1794 408691 1911 418309
82800 1794 409280 1911 418720
82900 1795 409740 1914 419260
83000 1796 410440 1914 419560
83100 1800 410898 1915 420102
83200 1800 411396 1915 420604
83300 1802 411837 1916 421163
83400 1803 412416 1918 421584
83500 1804 412941 1921 422059
83600 1804 413438 1924 422562
83700 1806 413757 1924 423243
83800 1807 414207 1924 423793
83900 1809 414744 1929 424256
84000 1811 415265 1929 424735
84100 1811 415697 1931 425303
84200 1811 416226 1933 425774
84300 1815 416716 1934 426284
84400 1817 417209 1938 426791
84500 1818 417689 1941 427311
84600 1819 418220 1941 427780
84700 1821 418806 1943 428194
84800 1821 419325 1943 428675
84900 1822 419986 1943 429014
