#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
100500 535 49249 609 51251
100600 535 49297 610 51303
100700 535 49353 610 51347
100800 535 49403 610 51397
100900 535 49452 611 51448
101000 535 49497 611 51503
101100 535 49555 611 51545
101200 536 49603 611 51597
101300 537 49652 611 51648
101400 538 49675 611 51725
101500 538 49723 611 51777
101600 538 49769 611 51831
101700 538 49836 611 51864
101800 539 49908 613 51892
101900 539 49955 614 51945
102000 540 50003 615 51997
102100 540 50041 615 52059
102200 540 50084 615 52116
102300 540 50137 616 52163
102400 540 50190 616 52210
102500 540 50253 617 52247
102600 540 50298 617 52302
102700 540 50362 617 52338
102800 541 50412 617 52388
102900 541 50460 617 52440
103000 541 50509 617 52491
103100 541 50563 617 52537
103200 542 50626 618 52574
103300 542 50688 618 52612
103400 543 50712 619 52688
103500 543 50745 619 52755
103600 544 50805 620 52795
103700 545 50839 620 52861
103800 545 50913 620 52887
103900 547 50960 620 52940
104000 547 50991 620 53009
104100 547 51045 622 53055
104200 548 51103 622 53097
104300 550 51145 624 53155
104400 550 51193 624 53207
104500 551 51263 625 53237
104600 551 51313 625 53287
104700 551 51361 625 53339
104800 551 51412 625 53388
104900 551 51460 627 53440
105000 551 51511 627 53489
105100 552 51561 627 53539
