#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.65 0.65]
#! SET kt 1.0
73100 3951 359234 3995 371766
73200 3955 359691 4002 372309
73300 3958 360204 4006 372796
73400 3959 360712 4009 373288
73500 3962 361187 4014 373813
73600 3964 361686 4015 374314
73700 3966 362192 4021 374808
73800 3973 362666 4024 375334
73900 3978 363141 4025 375859
74000 3979 363622 4032 376378
74100 3981 364145 4034 376855
74200 3989 364589 4041 377411
74300 3997 365188 4050 377812
74400 3999 365672 4058 378328
74500 4001 366127 4064 378873
74600 4004 366641 4065 379359
74700 4009 367220 4068 379780
74800 4016 367777 4072 380223
74900 4025 368290 4076 380710
75000 4029 368760 4080 381240
75100 4033 369257 4085 381743
75200 4039 369735 4090 382265
75300 4042 370273 4093 382727
75400 4048 370728 4097 383272
75500 4058 371309 4102 383691
75600 4066 371885 4111 384115
75700 4072 372493 4116 384507
75800 4077 372999 4123 385001
75900 4078 373464 4127 385536
76000 4085 373978 4129 386022
76100 4086 374502 4130 386498
76200 4088 374875 4134 387125
76300 4094 375289 4137 387711
76400 4099 375759 4142 388241
76500 4107 376229 4143 388771
76600 4113 376720 4146 389280
76700 4123 377225 4153 389775
76800 4127 377781 4156 390219
76900 4132 378274 4162 390726
77000 4137 378795 4167 391205
77100 4143 379222 4173 391778
77200 4146 379735 4177 392265
77300 4149 380169 4181 392831
77400 4157 380711 4186 393289
77500 4160 381242 4192 393758
77600 4165 381721 4196 394279
77700 4168 382203 4200 394797
77800 4174 382698 4207 395302
77900 4176 383134 4214 395866
78000 4179 383624 4216 396376
78100 4186 384090 4219 396910
78200 4190 384565 4224 397435
78300 4193 385089 4229 397911
78400 4195 385515 4236 398485
78500 4200 386046 4241 398954
78600 4203 386559 4246 399441
78700 4209 387080 4251 399920
78800 4212 387600 4251 400400
78900 4214 388053 4256 400947
79000 4219 388402 4257 401598
79100 4221 388827 4262 402173
79200 4227 389282 4263 402718
79300 4231 389746 4266 403254
79400 4239 390310 4271 403690
79500 4242 390765 4272 404235
79600 4249 391291 4280 404709
79700 4256 391806 4287 405194
79800 4262 392301 4292 405699
79900 4270 392781 4296 406219
80000 4276 393287 4298 406713
80100 4284 393774 4304 407226
80200 4295 394241 4309 407759
80300 4301 394658 4314 408342
80400 4312 395201 4325 408799
80500 4322 395784 4329 409216
80600 4327 396254 4335 409746
80700 4337 396744 4340 410256
80800 4344 397328 4343 410672
80900 4346 397876 4348 411124
81000 4351 398381 4355 411619
81100 4354 398857 4357 412143
81200 4358 399285 4366 412715
81300 4364 399750 4372 413250
81400 4365 400163 4380 413837
81500 4371 400511 4384 414489
81600 4373 400974 4392 415026
81700 4376 401581 4395 415419
81800 4382 402104 4405 415896
81900 4389 402653 4410 416347
82000 4395 403074 4414 416926
82100 4398 403479 4422 417521
82200 4406 403952 4430 418048
82300 4414 404394 4433 418606
82400 4417 405021 4436 418979
82500 4427 405584 4447 419416
82600 4433 406093 4451 419907
82700 4438 406556 4458 420444
82800 4442 407121 4464 420879
82900 4446 407636 4467 421364
83000 4449 408243 4468 421757
83100 4450 408787 4476 422213
83200 4454 409319 4481 422681
83300 4457 409845 4485 423155
83400 4460 410304 4490 423696
83500 4462 410751 4494 424249
83600 4462 411235 4497 424765
83700 4470 411739 4505 425261
83800 4479 412266 4512 425734
83900 4484 412747 4521 426253
84000 4493 413193 4528 426807
84100 4500 413588 4532 427412
84200 4504 414004 4541 427996
84300 4511 414396 4545 428604
84400 4515 414945 4553 429055
84500 4516 415459 4557 429541
84600 4519 415901 4563 430099
84700 4524 416421 4569 430579
84800 4526 416835 4576 431165
84900 4530 417423 4582 431577
85000 4533 417841 4587 432159
85100 4537 418501 4589 432499
85200 4546 419031 4596 432969
85300 4551 419537 4597 433463
85400 4554 420002 4599 433998
85500 4556 420442 4600 434558
85600 4559 420952 4608 435048
85700 4560 421439 4611 435561
85800 4565 421966 4616 436034
85900 4568 422485 4617 436515
86000 4569 422919 4619 437081
86100 4570 423396 4622 437604
86200 4571 424019 4624 437981
86300 4578 424553 4630 438447
86400 4581 425104 4636 438896
86500 4585 425651 4638 439349
86600 4589 426124 4642 439876
86700 4593 426650 4644 440350
86800 4600 427146 4651 440854
86900 4610 427678 4657 441322
87000 4616 428220 4659 441780
87100 4619 428686 4665 442314
87200 4627 429227 4670 442773
87300 4630 429774 4673 443226
87400 4635 430190 4677 443810
87500 4639 430698 4683 444302
87600 4642 431175 4684 444825
87700 4651 431769 4686 445231
87800 4655 432295 4687 445705
87900 4659 432664 4693 446336
88000 4664 433197 4700 446803
88100 4667 433671 4700 447329
88200 4672 434086 4702 447914
88300 4676 434634 4711 448366
88400 4680 435225 4713 448775
88500 4685 435830 4716 449170
88600 4688 436334 4719 449666
88700 4692 436823 4725 450177
88800 4699 437231 4729 450769
88900 4704 437707 4738 451293
89000 4708 438235 4745 451765
89100 4712 438731 4751 452269
89200 4718 439275 4755 452725
89300 4720 439734 4760 453266
89400 4723 440156 4764 453844
89500 4727 440699 4770 454301
89600 4729 441288 4771 454712
89700 4733 441752 4775 455248
89800 4738 442232 4783 455768
89900 4743 442601 4788 456399
90000 4746 442983 4789 457017
90100 4747 443451 4796 457549
90200 4748 444028 4800 457972
90300 4754 444523 4807 458477
90400 4756 445058 4808 458942
90500 4761 445570 4811 459430
90600 4769 446003 4820 459997
90700 4776 446520 4826 460480
90800 4784 447027 4829 460973
90900 4789 447521 4832 461479
91000 4794 448043 4840 461957
91100 4799 448484 4842 462516
91200 4803 449015 4843 462985
91300 4808 449442 4848 463558
91400 4816 449911 4853 464089
91500 4820 450403 4860 464597
91600 4825 450989 4863 465011
91700 4831 451525 4866 465475
91800 4839 452058 4877 465942
91900 4840 452603 4883 466397
92000 4845 453129 4884 466871
92100 4853 453760 4888 467240
